"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"survey:Coordinate:1                    ","Class","Coordinate","1.0.0.0","survey","A location on the celestial sphere, consisting of right ascension and declination.","sbn","","","","","","","","","","",""
"survey:Coordinate:2                     survey:right_ascension:1               ","Attribute","right_ascension","n/a","survey","The right ascension component of a coordinate, in J2000 decimal degrees","sbn","ASCII_Real","1","1","0","360","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"survey:Coordinate:2                     survey:declination:1                   ","Attribute","declination","n/a","survey","The declination component of a coordinate, in J2000 decimal degrees","sbn","ASCII_Real","1","1","-90","90","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"survey:Corner_Position:1               ","Class","Corner_Position","1.0.0.0","survey","The position of one corner of an image","sbn","","","","","","","","","","",""
"survey:Corner_Position:2                survey:corner_identification:1         ","Attribute","corner_identification","n/a","survey","Identifies which corner of the image is being located.","sbn","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"survey:Corner_Position:2                survey:corner_identification:2          Value:Top Left","Value","Top Left","","","The top-left corner"
"survey:Corner_Position:2                survey:corner_identification:2          Value:Top Right","Value","Top Right","","","The top-left corner"
"survey:Corner_Position:2                survey:corner_identification:2          Value:Bottom Left","Value","Bottom Left","","","The bottom-left corner"
"survey:Corner_Position:2                survey:corner_identification:2          Value:Bottom Right","Value","Bottom Right","","","The bottom-right corner"
"survey:Footprint:1                     ","Class","Footprint","1.0.0.0","survey","The portion of the sky contained within an image, identified by its four corners","sbn","","","","","","","","","","",""
"survey:Survey:1                        ","Class","Survey","1.0.0.0","survey","Sky Survey related properties.","sbn","","","","","","","","","","",""
"survey:Survey:2                         survey:rollover_magnitude:1            ","Attribute","rollover_magnitude","n/a","survey","The magnitude of the peak of the histogram of stellar magnitudes in the image.","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"survey:Survey:2                         survey:rollover_fwhm:1                 ","Attribute","rollover_fwhm","n/a","survey","The full width at half maximum of stellar sources at the magnitude of the peak of the histogram of stellar magnitudes in the image, in arcseconds","sbn","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"survey:Survey:2                         survey:field_id:1                      ","Attribute","field_id","n/a","survey","The id code for the field being observed","sbn","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
